arm,symbol,date,trade_date,base_score,base_rank,base_pct,recent_score,recent_rank,recent_pct,risk_flags,event_flags,short_boost,gate_tier,gate_reason,final_rank,arm_rank,arm_score,ret_fwd_3d,ret_fwd_3d_cs,ret_fwd_5d,ret_fwd_5d_cs
gate_first,688082,2026-06-15,2026-06-15,0.034707911821595355,1,1.0,0.054833247539721054,1,1.0,,,0.0,A_MAIN,"base strong, recent confirms",1,1,-1.0,0.24963455149501668,0.2349118644528595,0.3361461794019933,0.34270474973932874
gate_first,688521,2026-06-15,2026-06-15,0.033642332786752945,2,0.9966666666666667,0.03319745708832356,3,0.9933333333333333,,,-0.0033333333333334103,A_MAIN,"base strong, recent confirms",2,2,-2.0,0.14010437575270984,0.12538168871055266,0.2079486150140506,0.21450718535138602
gate_first,000657,2026-06-15,2026-06-15,0.03184432557578908,3,0.9933333333333333,0.028574484106224953,6,0.9833333333333333,,,-0.010000000000000009,A_MAIN,"base strong, recent confirms",3,3,-3.0,0.17113513513513512,0.15641244809297794,0.08194594594594595,0.08850451628328138
gate_first,002837,2026-06-15,2026-06-15,0.02403104160458618,4,0.99,0.016090114081106836,23,0.9266666666666666,,,-0.06333333333333335,A_MAIN,"base strong, recent confirms",4,4,-4.0,0.05615521246071875,0.041432525418561586,0.13212187457302904,0.13868044491036446
gate_first,600183,2026-06-15,2026-06-15,0.02346418126437663,5,0.9866666666666667,0.02910803143121782,5,0.9866666666666667,,,0.0,A_MAIN,"base strong, recent confirms",5,5,-5.0,0.02842809364548482,0.013705406603327655,-0.01170568561872909,-0.005147115281393667
gate_first,688008,2026-06-15,2026-06-15,0.023076966990824496,6,0.9833333333333333,0.031307022952783745,4,0.99,,,0.00666666666666671,A_MAIN,"base strong, recent confirms",6,6,-6.0,0.1469467993611009,0.1322241123189437,0.09141172134168829,0.09797029167902371
gate_first,301165,2026-06-15,2026-06-15,0.021005076844301068,7,0.98,0.009980628394935685,39,0.8733333333333333,,,-0.10666666666666669,A_MAIN,"base strong, recent confirms",7,7,-7.0,0.05462513695413995,0.03990244991198279,0.045390514947566185,0.05194908528490161
gate_first,600026,2026-06-15,2026-06-15,0.02017977231698467,9,0.9733333333333334,0.003282317091578934,77,0.7466666666666667,,,-0.22666666666666668,A_MAIN,"base strong, recent confirms",8,8,-8.0,0.14189944134078236,0.12717675429862518,0.2754189944134078,0.2819775647507432
gate_first,300502,2026-06-15,2026-06-15,0.019390002731873617,12,0.9633333333333334,0.02064124077904327,16,0.95,,,-0.01333333333333342,A_MAIN,"base strong, recent confirms",9,9,-9.0,0.014499089253187769,-0.00022359778896939575,0.04837887067395252,0.054937441011287946
gate_first,000975,2026-06-15,2026-06-15,0.018309318775410255,13,0.96,0.0034381461156334308,76,0.75,,,-0.20999999999999996,A_MAIN,"base strong, recent confirms",10,10,-10.0,-0.1939953810623556,-0.20871806810451277,-0.22494226327944566,-0.21838369294211024
gate_first,300394,2026-06-15,2026-06-15,0.01823393863738131,14,0.9566666666666667,0.020229378033445173,18,0.9433333333333334,,,-0.013333333333333308,A_MAIN,"base strong, recent confirms",11,11,-11.0,0.004342336238489786,-0.01038035080366738,0.0017554125219425565,0.00831398285927798
gate_first,300418,2026-06-15,2026-06-15,0.01781700488571865,16,0.95,0.005758127380132977,54,0.8233333333333334,,,-0.1266666666666666,A_MAIN,"base strong, recent confirms",12,12,-12.0,0.1504791504791505,0.13575646343699332,0.08262108262108248,0.0891796529584179
gate_first,688183,2026-06-15,2026-06-15,0.016456542460194224,18,0.9433333333333334,0.020570161599763766,17,0.9466666666666667,,,0.0033333333333332993,A_MAIN,"base strong, recent confirms",13,13,-13.0,-0.032815198618307395,-0.04753788566046456,-0.016911341393206603,-0.01035277105587118
gate_first,002460,2026-06-15,2026-06-15,0.01629595209024955,19,0.94,0.010116210644748566,37,0.88,,,-0.05999999999999994,A_MAIN,"base strong, recent confirms",14,14,-14.0,0.008397480755773179,-0.006325206286383986,0.002379286214135856,0.00893785655147128
gate_first,688472,2026-06-15,2026-06-15,0.015571822215010247,20,0.9366666666666666,0.005465230288717306,57,0.8133333333333334,,,-0.1233333333333333,A_MAIN,"base strong, recent confirms",15,15,-15.0,0.0060975609756097615,-0.008625126066547403,-0.05139372822299648,-0.04483515788566106
gate_first,688506,2026-06-15,2026-06-15,0.015132437702004732,22,0.93,0.0013021471147896607,89,0.7066666666666667,,,-0.22333333333333338,A_MAIN,"base strong, recent confirms",16,16,-16.0,-0.03245289438986021,-0.047175581432017374,0.05359193568967724,0.06015050602701266
gate_first,001280,2026-06-15,2026-06-15,0.014907853180991283,23,0.9266666666666666,0.005434866982217909,58,0.81,,,-0.11666666666666659,A_MAIN,"base strong, recent confirms",17,17,-17.0,0.0037853183723131067,-0.010937368669844058,-0.05367040692172498,-0.047111836584389555
gate_first,603799,2026-06-15,2026-06-15,0.014904351123869428,24,0.9233333333333333,0.008083095316785773,44,0.8566666666666667,,,-0.06666666666666665,A_MAIN,"base strong, recent confirms",18,18,-18.0,0.04169811320754713,0.026975426165389962,-0.01264150943396225,-0.006082939096626828
gate_first,300033,2026-06-15,2026-06-15,0.014875575592907378,25,0.92,0.01317337549143375,31,0.9,,,-0.020000000000000018,A_MAIN,"base strong, recent confirms",19,19,-19.0,0.12844204555850336,0.1137193585163462,0.09871009056810887,0.10526866090544429
gate_first,000977,2026-06-15,2026-06-15,0.01462661986878773,26,0.9166666666666666,0.01442825041092304,27,0.9133333333333333,,,-0.0033333333333332993,A_MAIN,"base strong, recent confirms",20,20,-20.0,0.06260032102728741,0.047877633985130244,0.0401284109149278,0.04668698125226323
gate_first,600893,2026-06-15,2026-06-15,0.014425963627663362,27,0.9133333333333333,0.008699233455701031,41,0.8666666666666667,,,-0.046666666666666634,A_MAIN,"base strong, recent confirms",21,21,-21.0,0.05160800202582916,0.03688531498367199,-0.009369460622942638,-0.0028108902856072157
gate_first,600160,2026-06-15,2026-06-15,0.0142768214339545,28,0.91,0.027528804581536222,7,0.98,,,0.06999999999999995,A_MAIN,"base strong, recent confirms",22,22,-22.0,0.15203426124196984,0.13731157419981266,0.19593147751605988,0.2024900478533953
gate_first,688223,2026-06-15,2026-06-15,0.013987546773452762,29,0.9066666666666666,0.0064792154200141935,47,0.8466666666666667,,,-0.05999999999999994,A_MAIN,"base strong, recent confirms",23,23,-23.0,-0.026465028355387443,-0.04118771539754461,-0.08128544423440454,-0.07472687389706911
gate_first,300803,2026-06-15,2026-06-15,0.013708084593284526,30,0.9033333333333333,0.002831520141695021,81,0.7333333333333333,,,-0.17000000000000004,A_MAIN,"base strong, recent confirms",24,24,-24.0,-0.05730569948186526,-0.07202838652402242,-0.000829015544041467,0.005729554793293955
gate_first,300476,2026-06-15,2026-06-15,0.013168423042062604,33,0.8933333333333333,0.02175169832070735,14,0.9566666666666667,,,0.06333333333333335,A_MAIN,"base strong, recent confirms",25,25,-25.0,0.027905930010126978,0.013183242967969813,-0.03389782828851129,-0.027339257951175866
gate_first,002384,2026-06-15,2026-06-15,0.012004827745619832,36,0.8833333333333333,0.006010465441958042,52,0.83,,,-0.053333333333333344,A_MAIN,"base strong, recent confirms",26,26,-26.0,0.002128001284831038,-0.012594685757326127,-0.011041516100538051,-0.004482945763202629
gate_first,600875,2026-06-15,2026-06-15,0.011564465385828945,37,0.88,0.004338490973197364,69,0.7733333333333333,,,-0.10666666666666669,A_MAIN,"base strong, recent confirms",27,27,-27.0,0.06308336015448979,0.04836067311233262,-0.02220791760540719,-0.015649347268071767
