arm,symbol,date,trade_date,base_score,base_rank,base_pct,recent_score,recent_rank,recent_pct,risk_flags,event_flags,short_boost,gate_tier,gate_reason,final_rank,fusion_score_col,fusion_rank,arm_rank,arm_score,ret_fwd_3d,ret_fwd_3d_cs,ret_fwd_5d,ret_fwd_5d_cs
turnover_aware,300661,2026-04-24,2026-04-24,0.015240878609452826,3,0.9933110367892977,0.018624795858847586,9,0.9732441471571907,,,-0.02006688963210701,A_MAIN,"base strong, recent confirms",3,0.03036576949620428,1,1,0.03036576949620428,0.020240213523131656,0.013114052635988648,-0.0018905693950178604,-0.025903492273110167
turnover_aware,000977,2026-04-24,2026-04-24,0.005508879896577553,23,0.9264214046822743,0.03590567298585684,1,1.0,,,0.0735785953177257,A_MAIN,"base strong, recent confirms",15,0.02844163539403516,2,2,0.02844163539403516,-0.0466356673960614,-0.0537618282832044,0.001094091903719896,-0.02291883097437241
turnover_aware,002709,2026-04-24,2026-04-24,0.004975471100920729,26,0.9163879598662207,0.028417395750498262,3,0.9933110367892977,,,0.07692307692307698,A_MAIN,"base strong, recent confirms",17,0.027500922849760058,3,3,0.027500922849760058,0.10098253275109159,0.09385637186394859,0.14264919941775833,0.11863627653966602
turnover_aware,002475,2026-04-24,2026-04-24,0.005665790739039486,21,0.9331103678929766,0.016486337669701097,11,0.9665551839464883,,,0.03344481605351168,A_MAIN,"base strong, recent confirms",13,0.0264301860545992,4,4,0.0264301860545992,-0.06905655134083644,-0.07618271222797944,-0.03404196192858144,-0.05805488480667375
turnover_aware,688012,2026-04-24,2026-04-24,0.0035001114517324533,38,0.8762541806020067,0.024687043543605725,4,0.9899665551839465,,,0.11371237458193983,A_MAIN,"base strong, recent confirms",27,0.02582908163265306,5,5,0.02582908163265306,0.06900495615707225,0.061878795269929246,0.0925572923285467,0.06854436945045439
turnover_aware,600176,2026-04-24,2026-04-24,0.008716930972741645,10,0.9698996655518395,0.009130985727806113,29,0.9063545150501672,,,-0.06354515050167231,A_MAIN,"base strong, recent confirms",8,0.02552166934189406,6,6,0.02552166934189406,0.03154100330429577,0.02441484241715276,0.13427455692400114,0.11026163404590883
turnover_aware,300433,2026-04-24,2026-04-24,0.007832446011591136,13,0.959866220735786,0.007896622118918561,34,0.8896321070234113,,,-0.07023411371237465,A_MAIN,"base strong, recent confirms",9,0.024336928009326728,7,7,0.024336928009326728,-0.038187944590041156,-0.04531410547718416,0.034069636840134754,0.010056713962042448
turnover_aware,600522,2026-04-24,2026-04-24,0.002646734830965497,62,0.7959866220735786,0.021923355509276776,5,0.9866220735785953,,,0.1906354515050167,B_SHORT_BOOST,recent model strongly boosts an acceptable base name,42,0.023581336696090797,8,8,0.023581336696090797,-0.07434320849636677,-0.08146936938350978,0.07266629401900504,0.048653371140912734
turnover_aware,301308,2026-04-24,2026-04-24,0.004410119446115667,29,0.9063545150501672,0.011982282979223173,23,0.9264214046822743,,,0.02006688963210712,A_MAIN,"base strong, recent confirms",20,0.023284147827264113,9,9,0.023284147827264113,0.019455550179530823,0.012329389292387815,0.22839899157095922,0.2043860686928669
turnover_aware,300896,2026-04-24,2026-04-24,0.016682696357460367,2,0.9966555183946488,0.003085404027798844,82,0.7290969899665551,,,-0.2675585284280937,A_MAIN,"base strong, recent confirms",2,0.023171285779191277,10,10,0.023171285779191277,-0.02110099549051314,-0.02822715637765615,-0.004849825576448641,-0.028862748454540947
